Model,RMSE,MAE,MSE,R2,Pearson,Median_AE,Explained_Variance,Data,Mode,Dataset,Type
Diffusion,1.109679328117049,0.8711317181587219,1.2313882112503052,0.3044828772544861,0.6172049352158953,0.7378917,0.3510870337486267,BindDB,cold_drug,Test,InHouse
Random Forest,0.2987634139354252,0.1913904991522941,0.0892595775063502,0.9544319938086374,0.9827380463030484,0.1088035329180847,0.9544455427925352,BindDB,cold_drug,Training,InHouse
Random Forest,1.070202022546143,0.877017911897935,1.145332369061855,0.2985672748754864,0.6496668413697646,0.7751110152984189,0.4220468728125557,BindDB,cold_drug,Validation,InHouse
Random Forest,1.0493018920378232,0.8611234943944294,1.1010344606341556,0.3781097511991759,0.6613504611936035,0.7816744770399069,0.4373786746714381,BindDB,cold_drug,Test,InHouse
SVR,1.059915490054532,0.62720265062623,1.1234208460575386,0.426481174358979,0.6705010523540424,0.2109964127591643,0.4487550586117418,BindDB,cold_drug,Training,InHouse
SVR,1.314025932232327,1.0551069949106775,1.7266641505790363,-0.0574561352068516,0.3645087891796774,0.939167060393995,0.0397317803804188,BindDB,cold_drug,Validation,InHouse
SVR,1.2840823623640207,1.0370194311628371,1.6488675133343644,0.0686807136658531,0.4108654456614404,0.941176854622344,0.110934264679236,BindDB,cold_drug,Test,InHouse
GBM,0.9834309727303936,0.7082076473423546,0.967136478125448,0.5062660808586321,0.7268092473202752,0.4564925557525665,0.5062660808586322,BindDB,cold_drug,Training,InHouse
GBM,1.057654535886709,0.8434739639584575,1.1186331172817303,0.3149186235676204,0.6023378203094427,0.7060749308814942,0.3591432694492843,BindDB,cold_drug,Validation,InHouse
GBM,1.0695527510590952,0.8507942908364812,1.1439430872980787,0.3538739461759983,0.609060208598696,0.7233724040470504,0.3665276382070153,BindDB,cold_drug,Test,InHouse
Linear Regression,1.010951468749582,0.7138837781373624,1.022022872166937,0.4782459667893468,0.6915533019565006,0.4793620109558105,0.4782459694444649,BindDB,cold_drug,Training,InHouse
Linear Regression,1.5319262300732797,1.249174066213523,2.346797974386531,-0.4372429723949695,0.3503047279117761,1.082784359837213,-0.1145847708446965,BindDB,cold_drug,Validation,InHouse
Linear Regression,1.5813331987837125,1.277107716832636,2.5006146855755285,-0.4124061912393502,0.3303573090132478,1.0547337400437016,-0.1772357330400464,BindDB,cold_drug,Test,InHouse
MLP,0.3797668042677915,0.2447185251150722,0.144222825623771,0.9263726448795676,0.9627140479613048,0.1425890922546386,0.9267854655891434,BindDB,cold_drug,Training,InHouse
MLP,1.294078718693407,0.8952740184068442,1.6746397301751703,-0.0255949637577312,0.5178866764017762,0.5642286229451088,0.0558067788761886,BindDB,cold_drug,Validation,InHouse
MLP,1.088179633946876,0.7586282576511949,1.184134915736757,0.3311726529093974,0.6373233906784624,0.5068669319152832,0.3350100484093921,BindDB,cold_drug,Test,InHouse
XGBoost,0.522357486179124,0.35734784484515,0.2728573433673738,0.860703294153071,0.9306323106641988,0.2303407150047078,0.8607032954921359,BindDB,cold_drug,Training,InHouse
XGBoost,1.0707029359312312,0.8419469413300564,1.1464047770117582,0.2979105030500627,0.6270304531359835,0.7109317779541016,0.3655447798620844,BindDB,cold_drug,Validation,InHouse
XGBoost,1.271661469578117,1.0133207883255098,1.6171228932095765,0.0866108243148167,0.534228220007248,0.8651604652404785,0.2159189968862098,BindDB,cold_drug,Test,InHouse
GraphDTA,0.7101415852961944,0.5221679210662842,0.5043010711669922,0.7425487041473389,0.8957931641839043,0.38986397,0.8024446964263916,BindDB,cold_drug,Training,InHouse
GraphDTA,0.9557754373740044,0.6585367918014526,0.9135066866874696,0.4405435919761657,0.6816936364869548,0.42250085,0.4423019886016845,BindDB,cold_drug,Validation,InHouse
GraphDTA,1.0495862440790993,0.7425375580787659,1.1016312837600708,0.3777726292610168,0.6566648776246509,0.49705696,0.396656334400177,BindDB,cold_drug,Test,InHouse
FNN,0.430761053880011,0.2735339999198913,0.1855550855398178,0.9052720665931702,0.9524753681025784,0.1555233,0.9071757793426514,BindDB,cold_drug,Training,InHouse
FNN,1.2990483835796338,0.9702864289283752,1.6875267028808594,-0.033487319946289,0.5388676699903217,0.73054814,0.1524812579154968,BindDB,cold_drug,Validation,InHouse
FNN,1.2689944966574902,0.9400255680084229,1.610347032546997,0.0904380083084106,0.558694464930729,0.69556713,0.1939781904220581,BindDB,cold_drug,Test,InHouse
DeepPurpose,1.0970048383067936,0.7517605538336981,1.2034196152685144,0.3856409137107838,0.6363843790368845,0.4454488754272461,0.3996104083458699,BindDB,cold_drug,Training,InHouse
DeepPurpose,0.9995963146084434,0.6869687461212426,0.9991927921787822,0.3880671304899759,0.6247399065161643,0.4206907749176025,0.388176048258487,BindDB,cold_drug,Validation,InHouse
DeepPurpose,1.0597274624937212,0.7577144891934914,1.1230222947633812,0.3656905035497066,0.6128964744225409,0.4961511457285006,0.3754357130938303,BindDB,cold_drug,Test,InHouse
DCN,0.19404985466514,0.1250784546136856,0.0376553460955619,0.98077654838562,0.9905849548707314,0.08439922,0.9807808995246888,BindDB,cold_drug,Training,InHouse
