Drug,cluster,Selectivity_Score,entropy_sel_n,gini_sel_n,kurt_n,gap_n,sr_n,Type,x,y,Drug Chembl ID,Drug Name,Clinical Trial Phase
CHEMBL2106119,2,0.14265988261297913,0.1052808676097648,0.001510463444056218,0.6892420003638325,0.0025060700201700323,0.0024273894361976165,Type I: Highly Selective,8.4134245,10.964982,CHEMBL2106119,Calcium Gluconate,4.0
CHEMBL2106123,2,0.1621589289557414,0.11153713440815297,0.0014447799049078565,0.5364346595365708,0.09347101201207422,0.08852367062069501,Type I: Highly Selective,8.554244,10.076073,CHEMBL2106123,Calcium Citrate,4.0
CHEMBL2106124,0,0.10071190610907439,0.12975146920109587,0.0017289504110432272,0.3831727958429978,0.0074350563571746135,0.008203987415939822,Type III: Broad-spectrum,11.198021,6.9810853,CHEMBL2106124,Calcium Glycerophosphate,1.0
CHEMBL2106140,0,0.10769314598084892,0.13748375443024244,0.002021529851843092,0.44375637422901343,0.005013915890873568,0.005556481812030344,Type III: Broad-spectrum,10.224934,8.714505,CHEMBL2106140,Calcium Sulfate,-1.0
CHEMBL2106155,2,0.17253877420952304,0.1675441699564634,0.002443616457117054,0.43992417858539856,0.05148320882768892,0.044358546376886444,Type I: Highly Selective,7.215418,9.508728,CHEMBL2106155,Encainide Hydrochloride,4.0
CHEMBL2106167,1,0.2307750836831798,0.09851450321904791,0.0010536719528476018,0.156388371723273,0.4494129624776844,0.4369723510067658,Type II: Moderate poly-target,-1.8900322,0.47192234,CHEMBL2106167,Clorexolone,2.0
CHEMBL2106179,0,0.11884184329061385,0.10521563149824657,0.0014376016304776947,0.4703549138760286,0.02638476139548797,0.027141501768336594,Type III: Broad-spectrum,10.4278555,8.952312,CHEMBL2106179,Fasoracetam,2.0
CHEMBL2106186,1,0.191342679042277,0.1345561623274922,0.001650727454666841,0.22665838091988136,0.2526580999085016,0.2356246879774119,Type II: Moderate poly-target,1.2154311,1.7916294,CHEMBL2106186,Fenquizone,2.0
CHEMBL2106191,0,0.12476390892823869,0.11028068118658992,0.0014600097161309384,0.4596386156505227,0.008277631622982966,0.007936395945834451,Type III: Broad-spectrum,10.387181,8.962812,CHEMBL2106191,Calcium Dobesilate,4.0
CHEMBL2106195,2,0.1840447018562855,0.20995504180788874,0.003310836958365917,0.2578103747615577,0.09015795549472735,0.07565946211420976,Type I: Highly Selective,4.683756,5.8055763,CHEMBL2106195,Dexmedetomidine Hydrochloride,4.0
CHEMBL2106198,0,0.14133053264779655,0.10333128827726404,0.001348751746278282,0.4046760767257906,0.042477795548938976,0.037715883038481494,Type III: Broad-spectrum,10.704183,8.088612,CHEMBL2106198,Buserelin Acetate,3.0
CHEMBL2106217,2,0.15151391234195938,0.2106627813297445,0.003354720269270551,0.3671621705081618,0.018813066132595892,0.01780169670048023,Type I: Highly Selective,6.87287,8.320881,CHEMBL2106217,Fenfluramine Hydrochloride,4.0
CHEMBL2106220,1,0.17109857198227946,0.11127543321757678,0.0013396012111616376,0.2305135490135937,0.180030673595496,0.15832542029287894,Type II: Moderate poly-target,3.8141885,1.6384066,CHEMBL2106220,Diampromide,2.0
CHEMBL2106224,0,0.11185733601339592,0.15648019584780967,0.002117431037467923,0.24807826912671083,0.035304069944501706,0.037080306169212665,Type III: Broad-spectrum,10.010934,4.7676034,CHEMBL2106224,Fenamole,2.0
CHEMBL2106227,2,0.1959700301166647,0.20533756971666006,0.0034657729758198618,0.3166076855378569,0.13894788131614821,0.12177640086725636,Type I: Highly Selective,3.2772014,5.7887063,CHEMBL2106227,Etifoxine,3.0
CHEMBL2106236,0,0.1481195011255365,0.09346849838063927,0.001078289711363283,0.13301389124678847,0.11907731883754911,0.09837348016077167,Type III: Broad-spectrum,6.721351,0.6967585,CHEMBL2106236,Epimestrol,2.0
CHEMBL2106238,0,0.044424388421964056,0.02361312381696783,0.00016327771438767795,0.06495448980125154,0.010848340507174684,0.0114609471029456,Type III: Broad-spectrum,13.767978,-0.8793476,CHEMBL2106238,Ethyl Linoleate,1.0
CHEMBL2106261,2,0.11863995223134938,0.05330532346449998,0.0006229877754224743,0.6458439887118698,0.0003485236761490624,0.0003442269273344532,Type I: Highly Selective,9.991893,9.913797,CHEMBL2106261,Ethyl Biscoumacetate,2.0
CHEMBL2106265,0,0.16268649106950753,0.14065239870471638,0.0018354164296533258,0.19942815161222288,0.1617305509630214,0.14972046475768175,Type III: Broad-spectrum,4.4912257,2.0046957,CHEMBL2106265,Dimethylthiambutene,2.0
CHEMBL2106274,0,0.10232821571865218,0.06766546396495049,0.0007326753017878076,0.340355118221825,0.011232339383477348,0.01067786579850638,Type III: Broad-spectrum,13.034207,5.7360444,CHEMBL2106274,Desomorphine,2.0
CHEMBL2106277,0,0.11442033610748441,0.11023444704938501,0.0013097464853733798,0.17502778015159873,0.0532574385112895,0.049932863763693,Type III: Broad-spectrum,9.895929,1.6974483,CHEMBL2106277,Diflucortolone Pivalate,-1.0
CHEMBL2106284,0,0.14363240239245995,0.1727801893579466,0.002339539000955917,0.28415935206052323,0.04897307127574375,0.045712638211261106,Type III: Broad-spectrum,7.497889,5.945315,CHEMBL2106284,Dioxaphetyl Butyrate,2.0
CHEMBL2106309,1,0.21812438909347961,0.0492669941784842,0.0006364362490710779,0.0827494999356837,0.4220092474705793,0.35966715282172845,Type II: Moderate poly-target,-0.94651693,0.1983784,CHEMBL2106309,Hydrocortisone Aceponate,2.0
