,query,matched,score,ModelID,StrippedCellLineName
310,OMC-1,OMC1,88.88888888888889,ACH-002180,OMC1
311,ES8,ES8,100.0,ACH-002109,ES8
312,ES4,ES4,100.0,ACH-002105,ES4
313,ES6,ES6,100.0,ACH-002107,ES6
314,ES1,ES1,100.0,ACH-002103,ES1
315,EW-3,EW3,85.71428571428571,ACH-002118,EW3
316,EW-12,EW12,88.88888888888889,ACH-002112,EW12
317,EW-1,EW1,85.71428571428571,ACH-002110,EW1
318,EW-18,EW18,88.88888888888889,ACH-002115,EW18
319,EW-16,EW16,88.88888888888889,ACH-002114,EW16
320,EW-13,EW13,88.88888888888889,ACH-002113,EW13
321,EW-24,EW24,88.88888888888889,ACH-002117,EW24
322,LAN-6,LAN6,88.88888888888889,ACH-001355,LAN6
323,NB10,NB10,100.0,ACH-002278,NB10
324,NB12,NB12,100.0,ACH-002279,NB12
325,NB6,NB6,100.0,ACH-002284,NB6
326,NB7,NB7,100.0,ACH-002285,NB7
327,NB17,NB17,100.0,ACH-002282,NB17
328,NB5,NB5,100.0,ACH-002283,NB5
329,NB13,NB13,100.0,ACH-002280,NB13
330,NB14,NB14,100.0,ACH-002281,NB14
331,NB1,NB1,100.0,ACH-000804,NB1
332,RH-1,,,,
333,MZ2-MEL,MZ2MEL,92.3076923076923,ACH-002165,MZ2MEL
334,ES-2,ES2,85.71428571428571,ACH-000906,ES2
335,MDST8,MDST8,100.0,ACH-000935,MDST8
336,NB(TU)1-10,NBTU110,82.35294117647058,ACH-002277,NBTU110
337,NCI-H1836,NCIH1836,94.11764705882354,ACH-000559,NCIH1836
338,NCI-H1869,NCIH1869,94.11764705882354,ACH-000894,NCIH1869
339,NCI-H211,NCIH211,93.33333333333333,ACH-000639,NCIH211
340,NCI-H847,NCIH847,93.33333333333333,ACH-001365,NCIH847
341,TC-71,TC71,88.88888888888889,ACH-000424,TC71
342,SUP-B15,SUPB15,92.3076923076923,ACH-000059,SUPB15
343,OCI-AML3,OCIAML3,93.33333333333333,ACH-000336,OCIAML3
344,CL-11,CL11,88.88888888888889,ACH-000249,CL11
345,ALL-SIL,ALLSIL,92.3076923076923,ACH-000105,ALLSIL
346,AMO-1,AMO1,88.88888888888889,ACH-000838,AMO1
347,COR-L95,CORL95,92.3076923076923,ACH-000743,CORL95
348,DND-41,DND41,90.9090909090909,ACH-000981,DND41
349,EJM,EJM,100.0,ACH-000821,EJM
350,Farage,,,,
351,NCI-H2135,NCIH2135,94.11764705882354,ACH-001363,NCIH2135
352,VCaP,,,,
353,GA-10,GA10,88.88888888888889,ACH-000162,GA10
354,GRANTA-519,GRANTA519,94.73684210526315,ACH-000073,GRANTA519
355,HCC-33,HCC33,90.9090909090909,ACH-000515,HCC33
356,Hs-445,,,,
357,HSC-39,HSC39,90.9090909090909,ACH-002141,HSC39
358,NB4,NB4,100.0,ACH-000294,NB4
359,JJN-3,JJN3,88.88888888888889,ACH-000653,JJN3
360,JM1,JM1,100.0,ACH-000151,JM1
361,JSC-1,JSC1,88.88888888888889,ACH-002253,JSC1
362,JURL-MK1,JURLMK1,93.33333333333333,ACH-000326,JURLMK1
363,KARPAS-231,KARPAS231,94.73684210526315,ACH-002255,KARPAS231
364,KCL-22,KCL22,90.9090909090909,ACH-000983,KCL22
365,KOPN-8,KOPN8,90.9090909090909,ACH-001106,KOPN8
366,L-1236,L1236,90.9090909090909,ACH-000702,L1236
367,ME-1,ME1,85.71428571428571,ACH-000439,ME1
368,MOLM-13,MOLM13,92.3076923076923,ACH-000362,MOLM13
