cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,reason,or,ci_lower,ci_upper,p_value,se,n,n_events,n_covariates
AvsC_1to1_full,C,1,full,9,365,1y,24096,24096,17,45,success,,0.3937,0.2229,0.6953,0.0013189245644127329,0.2903,48192.0,62.0,14.0
AvsC_1to1_full,C,1,full,9,730,2y,24096,24096,35,85,success,,0.4137,0.2753,0.6219,2.1889281556863297e-05,0.2079,48192.0,120.0,14.0
AvsC_1to1_full,C,1,full,9,1095,3y,24096,24096,52,113,success,,0.4578,0.325,0.6449,7.885224319125866e-06,0.1749,48192.0,165.0,14.0
AvsC_1to1_full,C,1,full,9,1825,5y,24096,24096,75,154,success,,0.4752,0.3546,0.637,6.43470303916158e-07,0.1495,48192.0,229.0,14.0
AvsC_1to1_simple,C,1,simple,0,365,1y,24096,24096,17,2,failed,non-convergence,,,,,,,,
AvsC_1to1_simple,C,1,simple,0,730,2y,24096,24096,35,24,success,,1.4639,0.8675,2.4702,0.15343161068034283,0.267,48192.0,59.0,6.0
AvsC_1to1_simple,C,1,simple,0,1095,3y,24096,24096,52,63,success,,0.819,0.5638,1.1896,0.2944924785027525,0.1905,48192.0,115.0,6.0
AvsC_1to1_simple,C,1,simple,0,1825,5y,24096,24096,75,65,success,,1.1584,0.8259,1.6246,0.39429804110870914,0.1726,48192.0,140.0,6.0
AvsC_1to2_full,C,2,full,0,365,1y,24096,48187,17,89,failed,non-convergence,,,,,,,,
AvsC_1to2_full,C,2,full,0,730,2y,24096,48187,35,145,failed,non-convergence,,,,,,,,
AvsC_1to2_full,C,2,full,0,1095,3y,24096,48187,52,197,success,,0.476,0.3466,0.6538,4.543068431302749e-06,0.1619,72283.0,249.0,14.0
AvsC_1to2_full,C,2,full,0,1825,5y,24096,48187,75,253,success,,0.5213,0.3972,0.6842,2.6610295055182044e-06,0.1387,72283.0,328.0,14.0
AvsC_1to2_full,C,2,full,1,365,1y,24096,48192,17,85,success,,0.3675,0.2169,0.6227,0.0001986158214695948,0.269,72288.0,102.0,14.0
AvsC_1to2_full,C,2,full,1,730,2y,24096,48192,35,136,success,,0.4682,0.3202,0.6847,9.072001344622932e-05,0.1939,72288.0,171.0,14.0
AvsC_1to2_full,C,2,full,1,1095,3y,24096,48192,52,178,success,,0.5271,0.3834,0.7246,8.001382748401956e-05,0.1624,72288.0,230.0,14.0
AvsC_1to2_full,C,2,full,1,1825,5y,24096,48192,75,232,success,,0.5779,0.4404,0.7583,7.635717288226971e-05,0.1386,72288.0,307.0,14.0
AvsC_1to2_full,C,2,full,2,365,1y,24096,48192,17,142,failed,non-convergence,,,,,,,,
AvsC_1to2_full,C,2,full,2,730,2y,24096,48192,35,212,failed,non-convergence,,,,,,,,
AvsC_1to2_full,C,2,full,2,1095,3y,24096,48192,52,245,failed,non-convergence,,,,,,,,
AvsC_1to2_full,C,2,full,2,1825,5y,24096,48192,75,320,failed,non-convergence,,,,,,,,
AvsC_1to2_full,C,2,full,3,365,1y,24096,48192,17,138,success,,0.2275,0.1365,0.3792,1.3398541136244605e-08,0.2606,72288.0,155.0,14.0
AvsC_1to2_full,C,2,full,3,730,2y,24096,48192,35,182,failed,non-convergence,,,,,,,,
AvsC_1to2_full,C,2,full,3,1095,3y,24096,48192,52,214,failed,non-convergence,,,,,,,,
AvsC_1to2_full,C,2,full,3,1825,5y,24096,48192,75,269,failed,non-convergence,,,,,,,,
AvsC_1to2_full,C,2,full,4,365,1y,24096,48192,17,118,success,,0.2565,0.1529,0.4302,2.5284463909844357e-07,0.2639,72288.0,135.0,14.0
AvsC_1to2_full,C,2,full,4,730,2y,24096,48192,35,161,success,,0.3949,0.2715,0.5744,1.176531306562782e-06,0.1912,72288.0,196.0,14.0
AvsC_1to2_full,C,2,full,4,1095,3y,24096,48192,52,199,success,,0.4707,0.3431,0.6457,2.9820228853666457e-06,0.1613,72288.0,251.0,14.0
AvsC_1to2_full,C,2,full,4,1825,5y,24096,48192,75,253,success,,0.5379,0.4109,0.7043,6.478847379474408e-06,0.1375,72288.0,328.0,14.0
AvsC_1to2_full,C,2,full,5,365,1y,24096,48192,17,74,success,,0.4223,0.2468,0.7224,0.001647710513184364,0.2739,72288.0,91.0,14.0
AvsC_1to2_full,C,2,full,5,730,2y,24096,48192,35,121,success,,0.5252,0.3569,0.7727,0.0010788312176825859,0.197,72288.0,156.0,14.0
AvsC_1to2_full,C,2,full,5,1095,3y,24096,48192,52,157,success,,0.6036,0.4362,0.8351,0.0023062536097500468,0.1657,72288.0,209.0,14.0
AvsC_1to2_full,C,2,full,5,1825,5y,24096,48192,75,179,success,,0.7615,0.5738,1.0105,0.05905289477333338,0.1444,72288.0,254.0,14.0
AvsC_1to2_full,C,2,full,6,365,1y,24096,48192,17,105,success,,0.307,0.1826,0.5163,8.457759587515215e-06,0.2652,72288.0,122.0,14.0
AvsC_1to2_full,C,2,full,6,730,2y,24096,48192,35,155,success,,0.4261,0.2923,0.621,9.059033134822884e-06,0.1922,72288.0,190.0,14.0
AvsC_1to2_full,C,2,full,6,1095,3y,24096,48192,52,199,success,,0.4987,0.3632,0.6849,1.713704939696561e-05,0.1618,72288.0,251.0,14.0
AvsC_1to2_full,C,2,full,6,1825,5y,24096,48192,75,272,success,,0.5234,0.4001,0.6846,2.2969470918470785e-06,0.137,72288.0,347.0,14.0
AvsC_1to2_full,C,2,full,7,365,1y,24096,48192,17,153,failed,non-convergence,,,,,,,,
AvsC_1to2_full,C,2,full,7,730,2y,24096,48192,35,210,failed,non-convergence,,,,,,,,
AvsC_1to2_full,C,2,full,7,1095,3y,24096,48192,52,283,failed,non-convergence,,,,,,,,
AvsC_1to2_full,C,2,full,7,1825,5y,24096,48192,75,337,success,,0.4064,0.3125,0.5286,1.9095847714781518e-11,0.1341,72288.0,412.0,14.0
