cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,ir_treat,ir_treat_lo,ir_treat_hi,ir_ctrl,ir_ctrl_lo,ir_ctrl_hi,irr,irr_lo,irr_hi
AvsC_1to2_full,C,2,full,7,1095,3y,24096,48192,52,283,0.7206,0.5382,0.945,1.966,1.7436,2.2089,0.3665,0.2727,0.4927
AvsC_1to2_full,C,2,full,7,1825,5y,24096,48192,75,337,0.624,0.4908,0.7822,1.4062,1.2601,1.5647,0.4437,0.3455,0.5699
AvsC_1to2_full,C,2,full,8,365,1y,24096,48192,17,106,0.7063,0.4114,1.1308,2.2042,1.8047,2.666,0.3204,0.192,0.5347
AvsC_1to2_full,C,2,full,8,730,2y,24096,48192,35,150,0.7273,0.5066,1.0115,1.5606,1.3209,1.8313,0.466,0.3226,0.6733
AvsC_1to2_full,C,2,full,8,1095,3y,24096,48192,52,204,0.7206,0.5382,0.945,1.4157,1.2281,1.6239,0.509,0.3754,0.6902
AvsC_1to2_full,C,2,full,8,1825,5y,24096,48192,75,246,0.624,0.4908,0.7822,1.0252,0.9011,1.1616,0.6087,0.47,0.7882
AvsC_1to2_full,C,2,full,9,365,1y,24096,48192,17,87,0.7063,0.4114,1.1308,1.8088,1.4487,2.2311,0.3905,0.2322,0.6566
AvsC_1to2_full,C,2,full,9,730,2y,24096,48192,35,174,0.7273,0.5066,1.0115,1.8103,1.5513,2.1002,0.4018,0.2794,0.5776
AvsC_1to2_full,C,2,full,9,1095,3y,24096,48192,52,219,0.7206,0.5382,0.945,1.52,1.3253,1.7352,0.4741,0.3504,0.6414
AvsC_1to2_full,C,2,full,9,1825,5y,24096,48192,75,296,0.624,0.4908,0.7822,1.2339,1.0973,1.3828,0.5057,0.3925,0.6515
AvsC_1to2_simple,C,2,simple,0,365,1y,24096,48192,17,3,0.7063,0.4114,1.1308,0.0623,0.0128,0.1821,11.3371,3.3224,38.686
AvsC_1to2_simple,C,2,simple,0,730,2y,24096,48192,35,25,0.7273,0.5066,1.0115,0.2596,0.168,0.3832,2.8016,1.6769,4.6807
AvsC_1to2_simple,C,2,simple,0,1095,3y,24096,48192,52,64,0.7206,0.5382,0.945,0.4432,0.3413,0.5659,1.6259,1.1277,2.3443
AvsC_1to2_simple,C,2,simple,0,1825,5y,24096,48192,75,182,0.624,0.4908,0.7822,0.7568,0.6508,0.8751,0.8245,0.6301,1.079
